combination_index	tf_count	combination	run	seed	source	fit_xml	single_hit_rates
68	4	ATF1+ATF4+CREB1+CREB3	4	300406	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB3\run_04_seed_300406\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB3\run_04_seed_300406\fit.output.rates
69	4	ATF1+ATF4+CREB1+CREB5	1	300409	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_01_seed_300409\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_01_seed_300409\fit.output.rates
69	4	ATF1+ATF4+CREB1+CREB5	2	300410	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_02_seed_300410\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_02_seed_300410\fit.output.rates
69	4	ATF1+ATF4+CREB1+CREB5	3	300411	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_03_seed_300411\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_03_seed_300411\fit.output.rates
69	4	ATF1+ATF4+CREB1+CREB5	4	300412	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_04_seed_300412\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREB5\run_04_seed_300412\fit.output.rates
70	4	ATF1+ATF4+CREB1+CREM	1	300415	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_01_seed_300415\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_01_seed_300415\fit.output.rates
70	4	ATF1+ATF4+CREB1+CREM	2	300416	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_02_seed_300416\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_02_seed_300416\fit.output.rates
70	4	ATF1+ATF4+CREB1+CREM	3	300417	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_03_seed_300417\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_03_seed_300417\fit.output.rates
70	4	ATF1+ATF4+CREB1+CREM	4	300418	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_04_seed_300418\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB1+CREM\run_04_seed_300418\fit.output.rates
71	4	ATF1+ATF4+CREB3+CREB5	1	300421	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_01_seed_300421\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_01_seed_300421\fit.output.rates
71	4	ATF1+ATF4+CREB3+CREB5	2	300422	reverse	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_02_seed_300422\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF1+ATF4+CREB3+CREB5\run_02_seed_300422\fit.output.rates
