combination_index	tf_count	combination	run	seed	source	final_score	elapsed	single_hit_r	multi_hit_r	fit_xml	single_hit_rates	multi_hit_rates
84	4	ATF4+ATF7+CREB1+CREB3	2	300500	reverse	5.602e+04	00:09:05.8532165	0.8364374748	0.7497646375	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_02_seed_300500\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_02_seed_300500\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB3\run_02.rates.tsv
84	4	ATF4+ATF7+CREB1+CREB3	3	300501	reverse	8.121e+04	00:01:55.2087177	0.7221195856	0.6848541891	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_03_seed_300501\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_03_seed_300501\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB3\run_03.rates.tsv
84	4	ATF4+ATF7+CREB1+CREB3	4	300502	reverse	6.883e+04	00:08:35.5554625	0.7834597311	0.7293662974	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_04_seed_300502\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB3\run_04_seed_300502\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB3\run_04.rates.tsv
85	4	ATF4+ATF7+CREB1+CREB5	1	300505	reverse	5.134e+04	00:09:00.9472729	0.8515639259	0.7640799938	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_01_seed_300505\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_01_seed_300505\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB5\run_01.rates.tsv
85	4	ATF4+ATF7+CREB1+CREB5	2	300506	reverse	5.143e+04	00:07:05.6726919	0.8542308401	0.7783751912	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_02_seed_300506\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_02_seed_300506\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB5\run_02.rates.tsv
85	4	ATF4+ATF7+CREB1+CREB5	3	300507	reverse	7.657e+04	00:02:30.3872315	0.7164611527	0.7012675318	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_03_seed_300507\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_03_seed_300507\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB5\run_03.rates.tsv
85	4	ATF4+ATF7+CREB1+CREB5	4	300508	reverse	7.089e+04	00:03:00.2773549	0.7759660952	0.7140753281	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_04_seed_300508\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREB5\run_04_seed_300508\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREB5\run_04.rates.tsv
86	4	ATF4+ATF7+CREB1+CREM	1	300511	reverse	5.113e+04	00:05:20.4249784	0.8509593569	0.7781333524	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREM\run_01_seed_300511\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREM\run_01_seed_300511\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREM\run_01.rates.tsv
86	4	ATF4+ATF7+CREB1+CREM	2	300512	reverse	5.108e+04	00:07:15.5017201	0.8518070282	0.7806601693	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREM\run_02_seed_300512\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREM\run_02_seed_300512\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREM\run_02.rates.tsv
86	4	ATF4+ATF7+CREB1+CREM	3	300513	reverse	5.188e+04	00:08:10.6898568	0.8459111453	0.7847657584	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREM\run_03_seed_300513\fit.xml	C:\Users\LIME\Desktop\Figure3B_reverse\Figure3B_portable_windows_20260612\artifacts\figure3b_no_self_scrambled_8runs\4TF\ATF4+ATF7+CREB1+CREM\run_03_seed_300513\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\4TF\ATF4+ATF7+CREB1+CREM\run_03.rates.tsv
